handleId,fieldType,name,description,productImageUrl,collection,isbn,price,visible,inventory,additionalInfoTitle1,additionalInfoDescription1,,,
9788126707874,Product,Pratinidhi Kahaniyan : Phanishwarnath Renu,Pratinidhi Kahaniyan : Phanishwarnath Renu - Phanishwarnath Renu,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126707874.png,Phanishwarnath Renu,9788126707874,75,TRUE,3,Written By Phanishwarnath Renu,Pratinidhi Kahaniyan : Phanishwarnath Renu - Phanishwarnath Renu,,,
9788126708581,Product,Tedhi Lakeer,Tedhi Lakeer - Ismat Chughtai,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126708581.png,Ismat Chughtai,9788126708581,395,TRUE,3,Written By Ismat Chughtai,Tedhi Lakeer - Ismat Chughtai,,,
9788126708604,Product,Shikayat Mujhe Bhi Hai,Shikayat Mujhe Bhi Hai - Harishankar Parsai,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126708604.png,Harishankar Parsai,9788126708604,150,TRUE,2,Written By Harishankar Parsai,Shikayat Mujhe Bhi Hai - Harishankar Parsai,,,
9788126708611,Product,नीम का पेड़,नीम का पेड़ - राही मासूम रज़ा,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126708611.png,राही मासूम रज़ा,9788126708611,99,TRUE,1,Written By राही मासूम रज़ा,नीम का पेड़ - राही मासूम रज़ा,,,
9788126708758,Product,काग़ज़ी है पैरहन,काग़ज़ी है पैरहन - Ismat Chughtai,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126708758.png,Ismat Chughtai,9788126708758,299,TRUE,1,Written By Ismat Chughtai,काग़ज़ी है पैरहन - Ismat Chughtai,,,
9788126709267,Product,Pratinidhi Kavitayen : Bharat Bhushan Agarwal,Pratinidhi Kavitayen : Bharat Bhushan Agarwal - Bharatbhushan Agarwal,,Bharatbhushan Agarwal,9788126709267,60,TRUE,1,Written By Bharatbhushan Agarwal,Pratinidhi Kavitayen : Bharat Bhushan Agarwal - Bharatbhushan Agarwal,,,
9788126710669,Product,Daar Se Bichhuri,Daar Se Bichhuri - Krishna Sobti,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126710669.png,Krishna Sobti,9788126710669,125,TRUE,1,Written By Krishna Sobti,Daar Se Bichhuri - Krishna Sobti,,,
9788126711208,Product,Kala Shukravar,Kala Shukravar - Sudha Arora,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126711208.png,Sudha Arora,9788126711208,80,TRUE,1,Written By Sudha Arora,Kala Shukravar - Sudha Arora,,,
9788126711413,Product,उमराव जान अदा,उमराव जान अदा - Mirza Mohammad Hadi Ruswa,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126711413.png,Mirza Mohammad Hadi Ruswa,9788126711413,95,TRUE,1,Written By Mirza Mohammad Hadi Ruswa,उमराव जान अदा - Mirza Mohammad Hadi Ruswa,,,
9788126711468,Product,काशी का अस्सी,काशी का अस्सी - Kashinath Singh,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126711468.png,Kashinath Singh,9788126711468,199,TRUE,1,Written By Kashinath Singh,काशी का अस्सी - Kashinath Singh,,,
9788126713455,Product,Ghasiram Kotwal,Ghasiram Kotwal - Vijay Tendulker,,Vijay Tendulker,9788126713455,99,TRUE,1,Written By Vijay Tendulker,Ghasiram Kotwal - Vijay Tendulker,,,
